user_id,segment,trade_frequency_per_week,portfolio_value_usd,risk_score,avg_holding_days,volatility_exposure
U31199,Prudent,0,638.01,0.181,200.4,0.031
U31200,Aventurier,26,5255.56,0.753,12.0,0.681
U31201,Équilibré,12,1271.46,0.411,88.6,0.291
U31202,Prudent,0,798.65,0.071,272.5,0.064
U31203,Aventurier,30,1824.08,0.923,14.2,0.812
U31204,Aventurier,36,2134.95,0.856,6.1,0.711
U31205,Équilibré,13,2732.07,0.329,87.0,0.328
U31206,Aventurier,37,3339.05,0.663,10.0,0.407
U31207,Prudent,0,880.67,0.109,238.9,0.095
U31208,Équilibré,12,862.62,0.43,38.1,0.141
U31209,Prudent,3,933.41,0.174,229.4,0.088
U31210,Équilibré,13,1951.15,0.251,39.9,0.343
U31211,Équilibré,13,408.8,0.551,52.1,0.339
U31212,Prudent,3,802.0,0.146,267.4,0.086
U31213,Équilibré,10,2085.57,0.376,28.9,0.115
U31214,Prudent,2,677.95,0.246,157.7,0.051
U31215,Prudent,0,843.93,0.12,292.7,0.094
U31216,Équilibré,10,2033.29,0.404,71.3,0.215
U31217,Équilibré,6,2229.25,0.254,48.0,0.123
U31218,Prudent,5,1039.38,0.058,136.7,0.075
U31219,Prudent,0,865.12,0.052,140.4,0.085
U31220,Prudent,1,977.11,0.136,175.2,0.079
U31221,Prudent,0,569.86,0.051,236.6,0.056
U31222,Équilibré,10,1618.62,0.569,63.5,0.247
U31223,Aventurier,49,2456.02,0.762,11.9,0.817
U31224,Prudent,0,926.62,0.146,250.3,0.064
U31225,Équilibré,7,2312.0,0.341,22.5,0.101
U31226,Prudent,0,688.19,0.088,160.6,0.033
U31227,Équilibré,15,1889.4,0.48,28.7,0.249
U31228,Prudent,2,765.07,0.104,109.3,0.057
U31229,Aventurier,45,4007.17,0.889,2.7,0.841
U31230,Équilibré,14,2939.75,0.577,54.0,0.204
U31231,Équilibré,13,1950.57,0.317,41.6,0.271
U31232,Équilibré,14,2692.21,0.262,49.3,0.185
U31233,Prudent,4,643.47,0.193,276.7,0.035
U31234,Aventurier,42,4403.7,0.984,11.4,0.474
U31235,Prudent,1,692.6,0.23,206.6,0.043
U31236,Prudent,0,663.46,0.096,193.3,0.042
U31237,Prudent,1,519.41,0.059,279.0,0.081
U31238,Prudent,5,613.04,0.157,288.3,0.064
U31239,Prudent,1,797.48,0.125,103.6,0.085
U31240,Équilibré,10,2211.54,0.587,84.0,0.323
U31241,Prudent,2,659.52,0.091,240.7,0.097
U31242,Équilibré,11,2148.04,0.541,29.4,0.222
U31243,Prudent,4,896.11,0.24,215.5,0.099
U31244,Aventurier,45,4041.5,0.624,1.7,0.793
U31245,Prudent,3,748.29,0.184,275.5,0.031
U31246,Équilibré,5,2300.89,0.296,89.2,0.283
U31247,Équilibré,11,2051.18,0.25,35.9,0.282
U31248,Prudent,6,1129.15,0.099,276.8,0.088
U31249,Prudent,5,736.55,0.11,200.1,0.021
U31250,Prudent,4,998.78,0.088,227.2,0.066
U31251,Prudent,2,669.21,0.083,285.4,0.036
U31252,Prudent,3,1015.34,0.235,276.5,0.09
U31253,Équilibré,9,1315.75,0.384,32.2,0.233
U31254,Équilibré,11,2426.17,0.577,36.9,0.219
U31255,Équilibré,15,1891.04,0.549,84.4,0.1
U31256,Prudent,2,1006.76,0.193,161.5,0.047
U31257,Aventurier,43,3832.13,0.938,10.3,0.704
U31258,Prudent,1,884.76,0.164,218.3,0.05
U31259,Équilibré,10,1308.96,0.431,68.4,0.314
U31260,Prudent,2,457.81,0.242,200.2,0.074
U31261,Prudent,1,984.35,0.057,242.4,0.027
U31262,Équilibré,3,1216.6,0.583,74.7,0.123
U31263,Équilibré,12,1833.13,0.524,65.3,0.204
U31264,Équilibré,6,2137.5,0.576,38.6,0.154
U31265,Équilibré,6,1879.2,0.255,62.1,0.209
U31266,Aventurier,39,1744.18,0.609,10.8,0.4
U31267,Équilibré,7,3631.23,0.36,31.9,0.306
U31268,Équilibré,12,2170.47,0.313,69.9,0.305
U31269,Prudent,3,652.98,0.111,134.1,0.073
U31270,Prudent,7,929.65,0.213,268.7,0.031
U31271,Équilibré,8,2681.51,0.428,39.0,0.118
U31272,Prudent,1,998.3,0.235,111.2,0.086
U31273,Équilibré,9,2014.94,0.438,41.6,0.302
U31274,Prudent,2,689.94,0.148,234.1,0.043
U31275,Aventurier,49,4408.25,0.837,7.8,0.516
U31276,Aventurier,42,6073.44,0.794,12.9,0.716
U31277,Prudent,1,885.67,0.087,158.8,0.041
U31278,Aventurier,33,5198.19,0.667,6.6,0.832
U31279,Aventurier,40,5646.09,0.968,13.6,0.375
U31280,Aventurier,35,2553.73,0.936,1.7,0.508
U31281,Prudent,3,639.48,0.179,243.5,0.036
U31282,Équilibré,8,1887.84,0.255,55.3,0.155
U31283,Prudent,1,790.55,0.067,248.1,0.025
U31284,Équilibré,11,488.35,0.312,38.3,0.242
U31285,Équilibré,13,1422.73,0.58,50.5,0.328
U31286,Équilibré,12,3383.81,0.265,83.5,0.335
U31287,Prudent,4,649.3,0.235,156.0,0.056
U31288,Aventurier,39,5055.98,0.919,4.4,0.694
U31289,Équilibré,6,1613.8,0.313,76.8,0.166
U31290,Prudent,1,795.22,0.088,290.0,0.021
U31291,Équilibré,15,1410.7,0.31,78.1,0.167
U31292,Aventurier,42,4222.95,0.877,1.8,0.621
U31293,Aventurier,36,350.8,0.819,12.0,0.824
U31294,Équilibré,8,2116.5,0.521,77.5,0.234
U31295,Prudent,1,915.01,0.227,138.2,0.062
U31296,Prudent,1,567.11,0.19,235.8,0.036
U31297,Prudent,3,1122.67,0.105,228.5,0.062
U31298,Prudent,3,678.23,0.199,184.8,0.086
U31299,Équilibré,15,1494.77,0.294,21.1,0.332
U31300,Prudent,1,864.4,0.16,141.4,0.06
U31301,Prudent,3,896.81,0.215,279.9,0.046
U31302,Aventurier,39,3306.37,0.985,11.1,0.665
U31303,Équilibré,16,1897.04,0.31,60.9,0.195
U31304,Équilibré,8,2833.05,0.494,23.7,0.153
U31305,Équilibré,8,2897.43,0.421,84.3,0.296
U31306,Équilibré,12,2821.39,0.447,66.3,0.136
U31307,Prudent,2,633.3,0.192,139.5,0.027
U31308,Équilibré,12,2321.86,0.432,84.4,0.208
U31309,Équilibré,12,2433.4,0.451,74.9,0.349
U31310,Équilibré,10,1110.75,0.376,82.5,0.161
U31311,Aventurier,49,3501.55,0.79,8.6,0.51
U31312,Aventurier,37,2670.06,0.975,5.4,0.628
U31313,Équilibré,10,1806.23,0.448,68.7,0.116
U31314,Prudent,2,927.64,0.244,278.1,0.09
U31315,Aventurier,49,2737.58,0.779,2.6,0.785
U31316,Équilibré,8,884.55,0.548,24.8,0.187
U31317,Équilibré,15,994.28,0.331,70.9,0.201
U31318,Équilibré,14,36.74,0.321,27.5,0.105
U31319,Prudent,0,330.22,0.211,235.4,0.073
U31320,Prudent,3,606.96,0.21,181.6,0.077
U31321,Prudent,1,809.29,0.064,125.8,0.067
U31322,Prudent,2,911.98,0.069,202.8,0.098
U31323,Équilibré,10,2360.74,0.441,74.4,0.246
U31324,Prudent,2,606.39,0.171,269.3,0.075
U31325,Aventurier,35,3193.89,0.909,1.2,0.475
U31326,Équilibré,8,1796.64,0.308,78.7,0.227
U31327,Équilibré,12,965.04,0.312,36.5,0.268
U31328,Prudent,3,994.96,0.13,250.8,0.093
U31329,Équilibré,12,1287.56,0.559,70.8,0.114
U31330,Prudent,7,649.12,0.081,143.6,0.096
U31331,Équilibré,8,1157.83,0.535,81.0,0.228
U31332,Aventurier,39,5194.13,0.62,7.8,0.364
U31333,Équilibré,8,2463.28,0.326,51.4,0.33
U31334,Prudent,0,760.97,0.06,209.1,0.033
U31335,Équilibré,12,2146.36,0.587,72.8,0.157
U31336,Prudent,4,826.44,0.125,102.1,0.049
U31337,Prudent,0,797.77,0.084,233.5,0.092
U31338,Équilibré,12,2080.2,0.498,30.2,0.312
U31339,Aventurier,37,4304.18,0.723,7.7,0.436
U31340,Prudent,0,753.84,0.177,276.5,0.063
U31341,Aventurier,37,3449.67,0.743,2.2,0.495
U31342,Prudent,2,712.6,0.238,268.1,0.025
U31343,Prudent,2,872.2,0.215,112.1,0.091
U31344,Équilibré,16,1014.5,0.405,88.4,0.24
U31345,Prudent,1,889.44,0.138,270.3,0.084
U31346,Prudent,4,725.72,0.14,147.5,0.065
U31347,Prudent,5,904.16,0.123,265.7,0.035
U31348,Prudent,0,670.71,0.241,169.1,0.06
U31349,Prudent,2,856.03,0.219,225.3,0.023
U31350,Équilibré,3,1240.35,0.383,66.3,0.338
U31351,Équilibré,12,1210.72,0.528,80.6,0.344
U31352,Aventurier,45,2869.43,0.647,13.7,0.85
U31353,Équilibré,9,1537.48,0.282,76.9,0.179
U31354,Équilibré,2,2527.53,0.323,69.5,0.148
U31355,Équilibré,9,2158.2,0.509,51.8,0.113
U31356,Aventurier,47,5124.99,0.871,13.0,0.66
U31357,Prudent,1,915.78,0.176,182.1,0.036
U31358,Prudent,2,1098.27,0.191,252.2,0.072
U31359,Équilibré,8,231.6,0.274,23.6,0.102
U31360,Prudent,0,604.97,0.162,164.3,0.021
U31361,Aventurier,35,3320.32,0.856,6.2,0.525
U31362,Équilibré,12,1947.5,0.418,49.8,0.316
U31363,Prudent,2,671.67,0.108,168.3,0.033
U31364,Équilibré,8,1640.91,0.494,89.1,0.136
U31365,Prudent,2,732.44,0.183,221.4,0.061
U31366,Aventurier,35,4659.47,0.685,7.4,0.705
U31367,Aventurier,32,4022.53,0.656,11.3,0.732
U31368,Équilibré,4,2159.95,0.517,35.4,0.331
U31369,Prudent,2,811.23,0.104,257.6,0.076
U31370,Prudent,5,900.46,0.228,137.3,0.1
U31371,Équilibré,8,1829.94,0.31,84.8,0.247
U31372,Aventurier,36,5728.79,0.912,9.5,0.717
U31373,Prudent,2,860.12,0.217,247.5,0.043
U31374,Prudent,1,903.54,0.15,235.3,0.034
U31375,Prudent,5,789.22,0.203,261.5,0.047
U31376,Équilibré,6,1852.77,0.38,24.9,0.252
U31377,Aventurier,31,4268.59,0.98,10.6,0.506
U31378,Prudent,2,1029.36,0.117,211.6,0.073
U31379,Prudent,0,536.37,0.064,277.9,0.099
U31380,Équilibré,8,2161.26,0.544,22.9,0.173
U31381,Aventurier,28,3959.6,0.925,8.8,0.61
U31382,Aventurier,41,3973.39,0.705,1.2,0.573
U31383,Équilibré,7,1565.75,0.328,30.4,0.209
U31384,Prudent,1,953.53,0.194,184.2,0.1
U31385,Équilibré,14,2133.24,0.499,70.3,0.313
U31386,Aventurier,37,1594.7,0.725,2.9,0.617
U31387,Aventurier,39,4278.29,0.73,4.5,0.775
U31388,Équilibré,8,1958.4,0.544,54.1,0.277
U31389,Équilibré,8,2338.88,0.251,21.5,0.277
U31390,Aventurier,38,3507.68,0.934,5.4,0.717
U31391,Équilibré,10,2646.56,0.258,80.8,0.171
U31392,Prudent,1,783.29,0.231,280.1,0.03
U31393,Équilibré,12,2280.52,0.255,58.5,0.314
U31394,Aventurier,34,1436.59,0.683,14.2,0.612
U31395,Équilibré,7,2022.22,0.567,37.2,0.21
U31396,Aventurier,39,3517.98,0.664,5.5,0.38
U31397,Équilibré,13,2157.12,0.322,33.4,0.129
U31398,Prudent,2,558.74,0.21,158.8,0.06
U31399,Prudent,2,867.7,0.076,289.5,0.054
U31400,Aventurier,46,860.57,0.96,7.5,0.484
U31401,Équilibré,5,2181.08,0.349,20.0,0.276
U31402,Prudent,1,833.39,0.141,262.4,0.048
U31403,Aventurier,41,1458.38,0.838,1.4,0.562
U31404,Équilibré,11,1917.75,0.575,45.5,0.279
U31405,Aventurier,40,4640.25,0.838,11.9,0.85
U31406,Équilibré,11,1194.15,0.563,68.7,0.22
U31407,Prudent,2,997.42,0.212,107.2,0.038
U31408,Équilibré,7,2120.96,0.439,43.6,0.242
U31409,Aventurier,30,2347.94,0.702,11.5,0.853
U31410,Prudent,2,632.27,0.172,216.9,0.09
U31411,Aventurier,45,5837.69,0.755,2.4,0.405
U31412,Prudent,4,643.31,0.135,111.4,0.07
U31413,Équilibré,10,3207.64,0.33,34.0,0.219
U31414,Équilibré,10,1813.38,0.445,89.9,0.174
U31415,Aventurier,36,2559.76,0.685,9.5,0.456
U31416,Équilibré,10,1168.82,0.399,66.4,0.178
U31417,Équilibré,11,1794.3,0.351,75.3,0.3
U31418,Aventurier,44,3415.11,0.764,14.6,0.81
U31419,Prudent,3,757.06,0.126,121.7,0.07
U31420,Prudent,2,825.31,0.228,195.6,0.072
U31421,Prudent,0,765.99,0.162,278.3,0.089
U31422,Équilibré,12,2179.97,0.527,55.4,0.184
U31423,Équilibré,8,1781.57,0.299,68.1,0.194
U31424,Aventurier,39,3843.4,0.742,1.6,0.494
U31425,Équilibré,9,3345.35,0.565,23.0,0.278
U31426,Prudent,1,1095.79,0.181,110.9,0.056
U31427,Aventurier,35,2818.46,0.814,6.3,0.55
U31428,Prudent,1,434.46,0.136,121.5,0.095
U31429,Aventurier,43,3433.68,0.922,11.3,0.843
U31430,Prudent,3,1280.36,0.109,173.0,0.042
U31431,Prudent,2,894.31,0.174,250.2,0.057
U31432,Équilibré,5,1937.24,0.35,40.2,0.101
U31433,Prudent,1,991.72,0.163,223.1,0.058
U31434,Prudent,1,1063.95,0.143,284.0,0.05
U31435,Équilibré,12,1368.22,0.4,55.3,0.122
U31436,Prudent,3,976.12,0.236,203.9,0.092
U31437,Prudent,1,849.93,0.057,196.5,0.042
U31438,Prudent,1,935.87,0.243,157.9,0.047
U31439,Équilibré,9,2640.62,0.404,24.2,0.101
U31440,Équilibré,10,1639.71,0.404,81.1,0.174
U31441,Prudent,4,684.85,0.161,133.6,0.081
U31442,Équilibré,13,1271.45,0.487,43.3,0.122
U31443,Équilibré,10,1889.74,0.442,66.7,0.172
U31444,Équilibré,10,2876.81,0.416,62.7,0.114
U31445,Équilibré,13,1901.26,0.282,44.7,0.337
U31446,Prudent,4,779.48,0.14,119.2,0.055
U31447,Équilibré,12,1492.29,0.342,21.0,0.152
U31448,Aventurier,35,5574.13,0.963,14.5,0.371
U31449,Équilibré,6,1948.88,0.355,31.9,0.251
U31450,Prudent,3,910.55,0.225,179.6,0.079
U31451,Prudent,3,892.47,0.182,161.9,0.086
U31452,Aventurier,50,4332.74,0.659,14.2,0.455
U31453,Équilibré,15,2353.21,0.539,29.5,0.302
U31454,Prudent,2,1140.77,0.105,262.0,0.089
U31455,Prudent,0,924.24,0.158,185.4,0.087
U31456,Aventurier,46,5742.33,0.791,3.4,0.641
U31457,Prudent,2,880.63,0.245,120.3,0.062
U31458,Équilibré,10,1967.0,0.544,37.6,0.192
U31459,Équilibré,10,1111.93,0.299,80.0,0.227
U31460,Équilibré,11,2582.68,0.468,23.2,0.262
U31461,Prudent,2,946.22,0.204,235.3,0.073
U31462,Prudent,2,908.82,0.208,275.9,0.086
U31463,Aventurier,50,1236.34,0.771,3.5,0.428
U31464,Équilibré,8,420.39,0.28,43.8,0.296
U31465,Aventurier,31,5224.58,0.64,10.1,0.846
U31466,Équilibré,7,2620.9,0.29,85.0,0.218
U31467,Aventurier,30,5224.62,0.929,8.1,0.816
U31468,Aventurier,38,1723.02,0.691,15.0,0.662
U31469,Équilibré,6,1437.36,0.299,20.0,0.337
U31470,Prudent,4,1053.89,0.163,258.4,0.057
U31471,Équilibré,8,1399.46,0.361,34.0,0.312
U31472,Équilibré,13,1483.62,0.518,21.0,0.29
U31473,Équilibré,12,1633.29,0.381,36.2,0.117
U31474,Aventurier,48,955.37,0.854,13.0,0.602
U31475,Prudent,3,780.84,0.102,221.6,0.052
U31476,Prudent,2,944.45,0.065,147.2,0.099
U31477,Équilibré,8,2168.26,0.409,85.2,0.213
U31478,Prudent,2,804.01,0.149,250.0,0.057
U31479,Équilibré,9,1479.11,0.313,86.7,0.214
U31480,Aventurier,42,5706.08,0.99,13.5,0.481
U31481,Équilibré,9,2467.46,0.575,60.9,0.172
U31482,Aventurier,47,4643.54,0.675,9.9,0.897
U31483,Équilibré,9,1389.67,0.272,38.0,0.297
U31484,Équilibré,13,1920.41,0.502,31.0,0.334
U31485,Équilibré,9,1246.1,0.301,60.6,0.133
U31486,Prudent,2,523.12,0.23,186.5,0.084
U31487,Équilibré,10,1980.14,0.383,23.8,0.134
U31488,Prudent,1,610.67,0.054,298.0,0.044
U31489,Aventurier,31,3840.15,0.883,8.9,0.365
U31490,Prudent,2,872.31,0.219,239.0,0.023
U31491,Prudent,1,626.86,0.091,258.7,0.043
U31492,Équilibré,11,1478.15,0.532,54.0,0.21
U31493,Équilibré,7,1319.94,0.371,27.2,0.255
U31494,Prudent,5,744.44,0.128,141.8,0.025
U31495,Prudent,0,1065.82,0.226,173.5,0.056
U31496,Aventurier,41,2615.33,0.989,1.8,0.772
U31497,Équilibré,9,1816.31,0.523,51.3,0.269
U31498,Prudent,4,779.74,0.156,214.0,0.077
U31499,Équilibré,5,2545.18,0.51,79.6,0.191
U31500,Prudent,5,709.67,0.15,279.5,0.069
U31501,Prudent,2,713.62,0.215,216.5,0.098
U31502,Aventurier,41,5193.86,0.764,8.2,0.441
U31503,Équilibré,6,1745.12,0.327,87.0,0.116
U31504,Prudent,2,436.97,0.178,236.3,0.031
U31505,Aventurier,36,5128.74,0.785,6.1,0.805
U31506,Équilibré,6,2875.31,0.387,42.5,0.336
U31507,Prudent,5,1116.97,0.196,110.8,0.054
U31508,Équilibré,11,1429.96,0.317,84.1,0.101
U31509,Aventurier,39,4282.23,0.707,12.2,0.814
U31510,Équilibré,12,2349.91,0.307,69.5,0.308
U31511,Équilibré,13,1822.77,0.464,69.7,0.115
U31512,Équilibré,6,2630.39,0.341,54.0,0.265
U31513,Équilibré,10,1583.63,0.285,49.0,0.249
U31514,Équilibré,4,1961.95,0.28,36.2,0.176
U31515,Équilibré,10,1378.63,0.379,25.3,0.185
U31516,Prudent,3,754.79,0.108,198.7,0.069
U31517,Aventurier,40,4008.32,0.769,6.0,0.655
U31518,Prudent,3,753.25,0.25,188.5,0.042
U31519,Équilibré,8,2450.05,0.387,23.7,0.281
U31520,Équilibré,14,1970.64,0.573,25.6,0.289
U31521,Équilibré,9,757.13,0.586,79.2,0.28
U31522,Équilibré,9,2164.27,0.283,67.4,0.227
U31523,Équilibré,4,3183.69,0.294,50.4,0.283
U31524,Prudent,0,500.84,0.195,288.1,0.069
U31525,Équilibré,8,1676.67,0.29,80.7,0.327
U31526,Aventurier,41,587.19,0.961,3.4,0.749
U31527,Aventurier,45,911.83,0.799,3.0,0.883
U31528,Équilibré,17,1902.64,0.55,52.9,0.219
U31529,Prudent,2,518.86,0.151,117.9,0.087
U31530,Prudent,1,835.1,0.14,294.0,0.056
U31531,Prudent,2,985.71,0.073,130.3,0.028
U31532,Équilibré,12,1801.82,0.524,88.4,0.279
U31533,Prudent,3,1017.39,0.17,220.9,0.052
U31534,Aventurier,35,5804.63,0.798,5.5,0.497
U31535,Aventurier,35,4617.66,0.686,13.8,0.513
U31536,Prudent,1,1167.82,0.237,283.2,0.049
U31537,Équilibré,9,1989.19,0.296,40.6,0.176
U31538,Équilibré,5,2210.68,0.561,62.0,0.296
U31539,Prudent,6,738.91,0.076,122.1,0.034
U31540,Équilibré,12,1171.99,0.352,53.5,0.293
U31541,Équilibré,12,980.81,0.284,73.7,0.206
U31542,Prudent,2,938.53,0.244,206.0,0.054
U31543,Équilibré,12,1859.34,0.255,73.1,0.23
U31544,Aventurier,41,3441.27,0.812,9.7,0.877
U31545,Équilibré,14,2077.12,0.285,25.5,0.323
U31546,Équilibré,12,1993.05,0.396,40.9,0.201
U31547,Prudent,2,1197.63,0.221,121.0,0.04
U31548,Aventurier,33,3687.61,0.943,9.1,0.611
U31549,Aventurier,48,1517.79,0.799,4.4,0.696
U31550,Prudent,4,756.6,0.102,194.0,0.087
U31551,Aventurier,39,3705.8,0.828,11.7,0.468
U31552,Prudent,5,548.92,0.073,164.8,0.024
U31553,Prudent,3,361.49,0.189,165.5,0.093
U31554,Équilibré,19,1957.48,0.499,80.8,0.341
U31555,Équilibré,7,1806.86,0.39,62.5,0.261
U31556,Équilibré,13,2099.11,0.549,55.6,0.249
U31557,Équilibré,9,2063.18,0.385,69.0,0.25
U31558,Prudent,2,648.34,0.078,135.3,0.06
U31559,Prudent,0,833.33,0.226,104.4,0.067
U31560,Équilibré,8,1852.1,0.354,49.3,0.177
U31561,Prudent,3,769.37,0.229,273.2,0.045
U31562,Prudent,2,672.86,0.134,234.5,0.072
U31563,Prudent,2,666.0,0.09,209.5,0.068
U31564,Aventurier,37,4471.27,0.754,13.6,0.479
U31565,Aventurier,40,3482.06,0.607,1.2,0.426
U31566,Prudent,0,1030.47,0.118,196.3,0.049
U31567,Prudent,2,801.76,0.184,158.9,0.05
U31568,Équilibré,4,2091.69,0.3,32.9,0.316
U31569,Aventurier,36,1816.04,0.756,14.8,0.619
U31570,Prudent,2,1119.38,0.1,152.6,0.02
U31571,Aventurier,40,4064.96,0.73,8.7,0.38
U31572,Équilibré,8,2263.37,0.488,87.6,0.332
U31573,Aventurier,40,4609.36,0.703,4.8,0.578
U31574,Prudent,0,494.33,0.21,286.8,0.054
U31575,Aventurier,41,7783.94,0.838,11.9,0.785
U31576,Équilibré,10,1357.94,0.321,78.4,0.185
U31577,Aventurier,41,1155.94,0.843,7.6,0.803
U31578,Équilibré,10,2705.81,0.551,69.4,0.248
U31579,Équilibré,11,869.96,0.529,27.3,0.335
U31580,Aventurier,32,4463.23,0.648,12.4,0.476
U31581,Équilibré,10,1894.54,0.37,42.9,0.198
U31582,Équilibré,11,1337.12,0.371,84.2,0.29
U31583,Équilibré,10,1006.21,0.565,22.9,0.215
U31584,Équilibré,12,2150.26,0.393,67.7,0.205
U31585,Aventurier,35,4028.14,0.848,6.7,0.614
U31586,Prudent,2,410.05,0.109,228.2,0.061
U31587,Équilibré,8,1812.13,0.581,85.9,0.207
U31588,Aventurier,46,2998.85,0.984,5.4,0.835
U31589,Équilibré,13,1925.6,0.427,47.1,0.187
U31590,Aventurier,34,1789.35,0.922,8.9,0.523
U31591,Aventurier,44,4299.22,0.944,6.3,0.589
U31592,Équilibré,13,1673.46,0.589,72.8,0.335
U31593,Équilibré,12,1629.44,0.259,24.4,0.244
U31594,Aventurier,45,2829.38,0.705,9.5,0.584
U31595,Aventurier,47,3964.55,0.737,7.0,0.51
U31596,Aventurier,40,3000.42,0.922,6.7,0.443
U31597,Prudent,3,720.89,0.186,119.2,0.057
U31598,Prudent,0,669.79,0.059,134.6,0.086
U31599,Équilibré,8,1644.97,0.311,21.3,0.31
U31600,Équilibré,10,427.64,0.472,44.1,0.176
U31601,Prudent,0,902.81,0.054,177.7,0.044
U31602,Prudent,2,889.99,0.111,280.4,0.072
U31603,Prudent,4,985.65,0.145,224.4,0.024
U31604,Équilibré,13,1883.68,0.546,59.5,0.261
U31605,Aventurier,34,4402.46,0.964,2.5,0.45
U31606,Aventurier,44,3214.06,0.921,4.7,0.772
U31607,Équilibré,9,950.35,0.408,24.7,0.208
U31608,Équilibré,8,1166.48,0.295,47.5,0.178
U31609,Équilibré,11,2085.04,0.548,90.0,0.233
U31610,Équilibré,14,1442.83,0.536,42.5,0.171
U31611,Équilibré,16,1450.83,0.508,53.4,0.157
U31612,Équilibré,17,1506.34,0.412,33.5,0.328
U31613,Prudent,1,1043.51,0.122,258.4,0.022
U31614,Équilibré,9,1912.01,0.521,23.6,0.125
U31615,Prudent,1,575.04,0.187,101.2,0.093
U31616,Prudent,1,861.22,0.115,211.3,0.062
U31617,Équilibré,4,2262.6,0.422,79.3,0.228
U31618,Prudent,0,1043.49,0.13,278.6,0.094
U31619,Équilibré,14,637.64,0.58,44.7,0.158
U31620,Prudent,2,311.35,0.055,174.5,0.038
U31621,Équilibré,12,1591.49,0.261,83.0,0.274
U31622,Aventurier,43,1731.6,0.702,11.6,0.678
U31623,Équilibré,12,1263.61,0.251,39.3,0.347
U31624,Équilibré,13,2221.86,0.449,68.6,0.215
U31625,Aventurier,37,8011.79,0.992,14.2,0.665
U31626,Équilibré,11,1660.78,0.354,70.3,0.254
U31627,Prudent,1,999.68,0.137,283.9,0.084
U31628,Prudent,3,604.12,0.111,118.9,0.038
U31629,Équilibré,8,1777.52,0.496,75.7,0.118
U31630,Équilibré,17,1011.18,0.365,77.3,0.104
U31631,Prudent,2,981.45,0.171,151.1,0.02
U31632,Aventurier,27,3611.23,0.702,6.6,0.823
U31633,Prudent,3,1239.68,0.112,164.7,0.028
U31634,Aventurier,47,3132.04,0.865,2.0,0.521
U31635,Aventurier,34,4064.18,0.675,3.4,0.829
U31636,Aventurier,51,3366.37,0.651,12.4,0.383
U31637,Aventurier,42,1331.75,0.639,5.9,0.478
U31638,Prudent,2,927.91,0.183,164.1,0.061
U31639,Équilibré,11,3013.86,0.506,29.2,0.336
U31640,Prudent,3,649.45,0.198,273.6,0.02
U31641,Aventurier,54,4489.44,0.761,10.4,0.537
U31642,Prudent,1,665.32,0.245,279.2,0.041
U31643,Prudent,2,743.05,0.064,167.9,0.095
U31644,Aventurier,42,3253.98,0.743,9.8,0.548
U31645,Prudent,3,446.38,0.235,110.6,0.045
U31646,Prudent,1,707.06,0.207,148.0,0.055
U31647,Équilibré,6,1649.38,0.475,63.9,0.27
U31648,Équilibré,16,1067.85,0.467,51.9,0.219
U31649,Équilibré,10,1463.49,0.303,79.2,0.216
U31650,Équilibré,5,1951.58,0.38,25.8,0.237
U31651,Aventurier,42,3019.9,0.715,7.5,0.719
U31652,Prudent,0,1197.13,0.171,246.9,0.046
U31653,Équilibré,8,1586.39,0.406,54.8,0.28
U31654,Équilibré,14,2371.86,0.376,26.4,0.179
U31655,Équilibré,6,2569.77,0.558,64.0,0.239
U31656,Équilibré,9,1459.27,0.476,26.7,0.193
U31657,Prudent,1,620.54,0.197,236.9,0.087
U31658,Prudent,2,548.55,0.099,297.8,0.071
U31659,Prudent,2,966.36,0.135,111.4,0.084
U31660,Prudent,0,913.53,0.065,173.7,0.071
U31661,Prudent,1,537.63,0.111,282.8,0.036
U31662,Équilibré,8,2532.07,0.564,64.9,0.303
U31663,Prudent,0,683.01,0.228,184.2,0.023
U31664,Équilibré,9,1275.24,0.274,72.8,0.29
U31665,Aventurier,51,5085.55,0.957,3.0,0.699
U31666,Équilibré,10,2566.23,0.401,60.8,0.131
U31667,Équilibré,14,2004.75,0.403,56.5,0.308
U31668,Aventurier,45,2324.62,0.765,6.7,0.585
U31669,Équilibré,10,2899.6,0.269,37.9,0.124
U31670,Aventurier,34,1294.62,0.775,3.2,0.892
U31671,Prudent,2,507.53,0.066,175.2,0.048
U31672,Aventurier,43,3593.05,0.992,5.1,0.386
U31673,Équilibré,10,2534.39,0.452,70.6,0.15
U31674,Prudent,4,613.7,0.096,153.3,0.041
U31675,Aventurier,55,5055.68,0.619,7.1,0.442
U31676,Aventurier,50,3697.91,0.65,7.6,0.512
U31677,Équilibré,7,1676.55,0.252,88.7,0.205
U31678,Aventurier,48,3507.27,0.947,6.6,0.898
U31679,Prudent,4,686.08,0.166,131.8,0.066
U31680,Équilibré,8,2013.81,0.303,21.6,0.322
U31681,Prudent,1,921.52,0.103,268.4,0.086
U31682,Prudent,2,680.21,0.121,105.0,0.04
U31683,Équilibré,11,1523.99,0.264,75.3,0.203
U31684,Équilibré,7,3315.5,0.549,56.8,0.269
U31685,Prudent,6,959.71,0.25,192.1,0.066
U31686,Équilibré,14,2385.28,0.438,58.4,0.13
U31687,Prudent,0,907.61,0.222,222.0,0.087
U31688,Équilibré,15,1570.08,0.496,88.6,0.154
U31689,Prudent,3,771.72,0.14,182.8,0.051
U31690,Aventurier,36,4121.66,0.827,6.5,0.683
U31691,Prudent,5,758.34,0.062,144.7,0.092
